0	3.06E-04
0.02	1.94E-03
0.04	6.93E-03
0.06	2.96E-03
0.08	2.96E-03
0.1	5.51E-03
0.12	8.46E-03
0.14	5.40E-03
0.16	1.43E-03
0.18	5.40E-03
0.2	1.37E-02
0.22	1.26E-02
0.24	6.73E-03
0.26	6.22E-03
0.28	1.36E-02
0.3	5.00E-03
0.32	9.79E-03
0.34	1.92E-02
0.36	2.48E-02
0.38	1.36E-02
0.4	4.69E-03
0.42	-8.26E-03
0.44	-1.59E-02
0.46	-8.67E-03
0.48	-3.16E-03
0.5	4.08E-03
0.52	8.67E-03
0.54	1.35E-02
0.56	1.84E-02
0.58	1.65E-02
0.6	2.35E-03
0.62	2.55E-03
0.64	8.16E-03
0.66	7.85E-03
0.68	1.12E-02
0.7	1.34E-02
0.72	8.26E-03
0.74	1.33E-03
0.76	-1.54E-02
0.78	-3.37E-02
0.8	-5.42E-02
0.82	-6.59E-02
0.84	-5.35E-02
0.86	-4.23E-02
0.88	-4.09E-02
0.9	-5.25E-02
0.92	-5.80E-02
0.94	-5.83E-02
0.96	-5.38E-02
0.98	-5.07E-02
1	-5.08E-02
1.02	-5.61E-02
1.04	-5.02E-02
1.06	-4.39E-02
1.08	-3.69E-02
1.1	-2.86E-02
1.12	-2.08E-02
1.14	-1.50E-02
1.16	-2.17E-02
1.18	-4.79E-03
1.2	2.19E-02
1.22	4.88E-02
1.24	5.91E-02
1.26	1.92E-02
1.28	-1.24E-02
1.3	-5.49E-02
1.32	-9.87E-02
1.34	-1.12E-01
1.36	-1.08E-01
1.38	-1.09E-01
1.4	-1.02E-01
1.42	-9.54E-02
1.44	-1.15E-01
1.46	-1.50E-01
1.48	-1.23E-01
1.5	-1.12E-01
1.52	-8.75E-02
1.54	-6.49E-02
1.56	-3.87E-02
1.58	-1.58E-02
1.6	1.09E-02
1.62	3.45E-02
1.64	6.11E-02
1.66	8.51E-02
1.68	1.11E-01
1.7	1.36E-01
1.72	1.52E-01
1.74	1.21E-01
1.76	1.13E-01
1.78	1.02E-01
1.8	1.10E-01
1.82	8.40E-02
1.84	3.76E-02
1.86	-2.29E-02
1.88	-1.51E-01
1.9	-1.83E-01
1.92	-1.62E-01
1.94	-1.72E-01
1.96	-1.55E-01
1.98	-1.48E-01
2	-1.38E-01
2.02	-1.30E-01
2.04	-1.20E-01
2.06	-1.11E-01
2.08	-1.02E-01
2.1	-7.79E-02
2.12	-6.07E-02
